number,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
54912,Nepal,all_energy_types,2019,0.14932116086732797,0.03816312722921974,101.266,28635.4,5.214565218831515,1.4745438831130682,8.30706762
54913,Nepal,coal,2019,0.01082505216732795,4.3687922921974e-4,101.266,28635.4,5.214565218831515,1.4745438831130682,0.7021875300436488
54914,Nepal,natural_gas,2019,0,0,101.266,28635.4,5.214565218831515,1.4745438831130682,0
54915,Nepal,petroleum_n_other_liquids,2019,0.0952355967,0,101.266,28635.4,5.214565218831515,1.4745438831130682,7.604880089467184
54917,Nepal,renewables_n_other,2019,0.043260512,0.037726248,101.266,28635.4,5.214565218831515,1.4745438831130682,0
54918,Netherlands,all_energy_types,2019,3.8179563429203327,1.4111446825769784,934.921,17360.55,219.92139321163975,4.083720809480515,216.830355385
54919,Netherlands,coal,2019,0.24973523675571163,0,934.921,17360.55,219.92139321163975,4.083720809480515,29.702262541333504
54920,Netherlands,natural_gas,2019,1.414089701446627,1.0382243410672511,934.921,17360.55,219.92139321163975,4.083720809480515,71.129814844
54921,Netherlands,petroleum_n_other_liquids,2019,1.897404265781805,0.04558761210314718,934.921,17360.55,219.92139321163975,4.083720809480515,115.998278
54922,Netherlands,nuclear,2019,0.03597385436658,0.03597385436658,934.921,17360.55,219.92139321163975,4.083720809480515,0
54923,Netherlands,renewables_n_other,2019,0.22075328456960905,0.29135887504,934.921,17360.55,219.92139321163975,4.083720809480515,0
54936,New Zealand,all_energy_types,2019,0.925824102221751,0.5946918269546112,198.6641,4956.083,186.80560882893832,4.66024864191241,38.962262785
54937,New Zealand,coal,2019,0.05228702401428837,0.07225399761301125,198.6641,4956.083,186.80560882893832,4.66024864191241,4.7132209239777145
54938,New Zealand,natural_gas,2019,0.17801352622942762,0.1717111404418822,198.6641,4956.083,186.80560882893832,4.66024864191241,8.796149861
54939,New Zealand,petroleum_n_other_liquids,2019,0.376058089733805,0.03180383921971778,198.6641,4956.083,186.80560882893832,4.66024864191241,25.452892
54941,New Zealand,renewables_n_other,2019,0.3194654622442301,0.31892284968,198.6641,4956.083,186.80560882893832,4.66024864191241,0
54942,Nicaragua,all_energy_types,2019,0.0976352016,0.024788736,33.5562,6544.65,14.918322843849555,2.909602446045738,5.027809
54943,Nicaragua,coal,2019,0,0,33.5562,6544.65,14.918322843849555,2.909602446045738,0
54944,Nicaragua,natural_gas,2019,0,0,33.5562,6544.65,14.918322843849555,2.909602446045738,0
54945,Nicaragua,petroleum_n_other_liquids,2019,0.0713656576,0,33.5562,6544.65,14.918322843849555,2.909602446045738,5.027809
54947,Nicaragua,renewables_n_other,2019,0.026269544,0.024788736,33.5562,6544.65,14.918322843849555,2.909602446045738,0
54948,Niger,all_energy_types,2019,0.0358901867134442,0.02915687881344419,28.87,23338.6,1.5378037548715089,1.2431654559558087,2.276804081
54949,Niger,coal,2019,0.00513423281344419,0.00513423281344419,28.87,23338.6,1.5378037548715089,1.2431654559558087,0.49463108053344185
54950,Niger,natural_gas,2019,0,0,28.87,23338.6,1.5378037548715089,1.2431654559558087,0
54951,Niger,petroleum_n_other_liquids,2019,0.02693577389999999,0.02380895,28.87,23338.6,1.5378037548715089,1.2431654559558087,1.782173
54953,Niger,renewables_n_other,2019,0.00382018,2.13696e-4,28.87,23338.6,1.5378037548715089,1.2431654559558087,0
54954,Nigeria,all_energy_types,2019,1.7014146282060918,6.024305327190176,1015.889,201050.8,8.462610585016781,1.674803672651335,101.193925365
